developer,game_count,avg_positive_ratio,total_owners,best_game,total_owners_M
"Armature Studio, LLC",1,42.3,350000.0,4539,0.35
"Armature Studio, LLC, Comcept",1,62.6,150000.0,5779,0.15
Armitage Games,1,76.5,150000.0,8459,0.15
"Arnaud De Bock, Rémi Forcadell, Alan Zucconi, Calum Bowen",1,95.8,750000.0,2176,0.75
Arrowhead Game Studios,4,83.6,43500000.0,14,43.5
Arrowiz,1,81.4,150000.0,6304,0.15
"Arsi ""Hakita"" Patala",1,97.7,7500000.0,131,7.5
Art in Heart,1,81.6,75000.0,9622,0.08
ArtPlay,1,93.7,1500000.0,780,1.5
Artdink,1,79.8,150000.0,9144,0.15
Artefacts Studio,7,80.6,4050000.0,1514,4.05
Artery Games,1,81.8,150000.0,9137,0.15
Artifex Mundi,15,86.9,2175000.0,6396,2.17
Artifice Studio,1,87.7,350000.0,3629,0.35
Artificer,1,93.9,150000.0,8522,0.15
Artisan Studios,1,78.4,150000.0,6527,0.15
"Artix Entertainment, LLC",1,81.7,350000.0,3798,0.35
Artless Gallery,1,71.3,150000.0,9136,0.15
Artless Games,1,95.6,150000.0,8688,0.15
"Artogon, Jetdogs Studios",1,58.9,150000.0,7399,0.15
Artplant,1,74.1,150000.0,5913,0.15
"Arvi Teikari, Roope Mäkinen",1,83.5,150000.0,7425,0.15
Asantee Games,1,94.6,75000.0,9568,0.08
Ascalon Games,1,92.1,350000.0,5605,0.35
Ascaron Entertainment ltd.,3,78.5,450000.0,7371,0.45
Ascendant Studios,1,70.8,350000.0,4053,0.35
Ash Game Studio,1,66.2,75000.0,9682,0.08
Ashborne Games,1,87.0,150000.0,7713,0.15
AsicxArt,4,94.2,1200000.0,4485,1.2
Askiisoft,1,98.0,3500000.0,571,3.5
Asmodee Digital,1,60.8,150000.0,5858,0.15
"Asobimo, Inc.",1,63.7,350000.0,4842,0.35
"Asobism.Co.,Ltd",1,90.4,150000.0,5906,0.15
Asobo Studio,5,81.3,6050000.0,455,6.05
"Asobo Studio, Hip Games",1,55.5,150000.0,6791,0.15
Aspyr,3,57.1,1250000.0,2370,1.25
Aspyr Studios,1,63.5,1500000.0,1342,1.5
"Aspyr, Crystal Dynamics",2,90.2,700000.0,3103,0.7
Asset Flip Studio,1,43.0,75000.0,9579,0.08
"Asteristic Game Studio, Anthony Septim",1,90.8,350000.0,2960,0.35
Asteroid Base,1,93.0,350000.0,3527,0.35
Asteroid Game Studio,3,89.7,650000.0,5544,0.65
Asteroid Lab,1,88.2,1500000.0,1281,1.5
AstralShift,1,95.8,150000.0,9262,0.15
"AstralShift, VisuStella",1,93.5,150000.0,7690,0.15
Astravelari LLC,1,82.4,150000.0,9314,0.15
Astro Hound,1,90.6,350000.0,3385,0.35
Astrolabe Interactive Inc.,1,84.0,750000.0,2494,0.75
Astronomic Games,5,65.3,1675000.0,2460,1.68
Asymmetric,2,97.0,1100000.0,2087,1.1
Ateam Entertainment Inc.,1,74.5,350000.0,4224,0.35
Atelier 801,2,81.5,5000000.0,342,5.0
Aterdux Entertainment,2,63.5,300000.0,7430,0.3
Athena Works,1,87.8,350000.0,4061,0.35
Atlant Games ltd,1,62.4,750000.0,1698,0.75
"Atmos Games, LLC",1,89.3,350000.0,4066,0.35
Atom Republic,1,38.0,150000.0,7310,0.15
AtomTeam,3,83.5,1850000.0,2093,1.85
"Atomic Fabrik, Cristian Manolachi",1,77.0,150000.0,6303,0.15
Atomic Kraken,1,57.5,350000.0,4977,0.35
"Atomic Wolf, L.INC",1,77.8,350000.0,2829,0.35
AtomicTorch Studio,2,75.0,500000.0,2779,0.5
Atooi,1,74.6,75000.0,9419,0.08
Atorcoppe Games,1,84.8,150000.0,8517,0.15
AttritoM7 Productions,1,78.8,750000.0,1571,0.75
Attu Games,1,71.4,150000.0,8594,0.15
Atum Software,1,69.3,350000.0,3788,0.35
Atypical Games,1,72.0,150000.0,9098,0.15
AuntyGames,1,94.2,150000.0,7452,0.15
Auren Snyder,1,83.4,150000.0,8082,0.15
Auroch Digital,2,87.5,700000.0,3443,0.7
Aurogon Shanghai,1,77.7,350000.0,4258,0.35
Aurora Studio,1,74.5,15000000.0,66,15.0
AurumDust,2,79.0,500000.0,3461,0.5
AutoAttack Games,1,86.4,1500000.0,1274,1.5
Autotelic Games LLC,1,67.4,150000.0,6342,0.15
Avalanche Software,3,79.2,35500000.0,39,35.5
Avalanche Studios,7,81.6,21750000.0,222,21.75
Avallon Alliance,1,56.4,150000.0,5896,0.15
Avantgarden SRL,1,71.2,150000.0,9367,0.15
AvoCavo,1,96.4,350000.0,3251,0.35
"Awaken Realms, Ovid Works",1,53.3,350000.0,3349,0.35
Awe Interactive,1,90.8,750000.0,2431,0.75
Awesome Enterprises,1,48.2,150000.0,8512,0.15
Awesome Games Studio,3,86.3,1450000.0,1764,1.45
AwesomeBlade,1,73.2,350000.0,4524,0.35
Awfully Nice Studios,1,90.5,150000.0,9096,0.15
Awoker Games,1,83.6,150000.0,6610,0.15
Axis Game Factory LLC,1,62.5,150000.0,7593,0.15
Axolittle Software,1,66.4,150000.0,6483,0.15
Axolot Games,1,92.3,3500000.0,351,3.5
Axyos Games,1,51.1,350000.0,3368,0.35
Ayacat Games,1,95.2,350000.0,5217,0.35
"Aydy, Nikolay Kulesh",1,79.2,75000.0,9785,0.08
Azure Flame Studio,1,87.4,750000.0,2024,0.75
"B Michael B, ChainWave Games, Blake Gillman",1,73.8,350000.0,5272,0.35
B2Expand,1,57.5,75000.0,9704,0.08
B4T Games,1,65.2,350000.0,5192,0.35
BANDAI NAMCO Entertainment Inc.,1,85.5,750000.0,2361,0.75
BANDAI NAMCO Studio Inc.,2,72.2,825000.0,1864,0.82
"BANDAI NAMCO Studio, SHIFT, QLOC",1,77.6,350000.0,5488,0.35
BANDAI NAMCO Studios Inc.,8,84.1,8800000.0,310,8.8
"BANDAI NAMCO Studios Inc., Dimps Corporation",1,82.3,1500000.0,997,1.5
"BANDAI NAMCO Studios Vancouver, Hipster Whale, 3 Sprockets",1,92.4,150000.0,7710,0.15
BASTI GAMES,1,84.8,75000.0,9753,0.08
BATOVI Games,1,86.4,150000.0,8116,0.15
BBC Media Applications Technologies Limited,1,69.8,150000.0,7404,0.15
BBstudio Inc.,2,72.9,700000.0,3806,0.7
BEHEMUTT,1,90.2,150000.0,7114,0.15
BG Productions,1,82.3,350000.0,3500,0.35
BINGOBELL,1,75.8,750000.0,2655,0.75
BKOM Studios,1,69.4,350000.0,3495,0.35
BL-Logic,1,84.8,75000.0,9746,0.08
BLOODIOUS GAMES,1,87.5,150000.0,6800,0.15
"BNA Studios, LLC",1,67.9,350000.0,4508,0.35
BRUTAL SOFTWARE,2,85.8,900000.0,1771,0.9
BRUTE FORCE,1,88.2,150000.0,6869,0.15
BSK Games,1,63.4,150000.0,6123,0.15
