publisher,game_count,total_owners,avg_positive_ratio,total_reviews,avg_price_eur,peak_ccu,total_owners_M
TopWare Interactive,4,4675000.0,60.0,4307,8.99,61,4.68
Trion Worlds,3,4600000.0,69.7,20207,0.0,2,4.6
CRITICAL REFLEX,3,4600000.0,96.4,129096,8.66,793,4.6
Egosoft,7,4600000.0,73.4,35580,17.28,2141,4.6
SUPERHOT Team,3,4500000.0,83.5,61040,19.99,43,4.5
Frontier Foundry,5,4500000.0,79.5,24324,20.39,373,4.5
Amanita Design,8,4475000.0,91.9,47892,12.99,125,4.47
Arc System Works,13,4425000.0,84.6,98713,24.76,2463,4.42
PixelMouse,3,4400000.0,77.3,2285,0.75,49,4.4
Piranha Games Inc.,3,4400000.0,79.9,29543,19.99,636,4.4
Bedtime Digital Games,3,4400000.0,85.2,9068,2.06,4,4.4
Akupara Games,7,4350000.0,90.9,67328,10.6,836,4.35
Jesse Makkonen,4,4350000.0,92.2,21668,2.32,3,4.35
id Software,12,4325000.0,87.2,27783,3.33,49,4.32
"7th Beat Games, indienova",2,4250000.0,96.2,94684,12.99,1870,4.25
"Freebird Games, Serenity Forge",2,4250000.0,97.0,99024,9.99,86,4.25
Free Reign Entertainment,2,4250000.0,55.3,21304,0.0,1,4.25
Freakinware Studios,2,4250000.0,80.8,16455,0.0,43,4.25
3909,2,4250000.0,97.0,103203,14.99,416,4.25
Mytona Fntastic,2,4250000.0,40.0,43726,0.0,1,4.25
Telltale Games,7,4200000.0,82.1,32765,0.0,32,4.2
Versus Evil,11,4200000.0,74.7,21727,5.54,26,4.2
IMGN.PRO,3,4200000.0,63.7,9298,3.82,6,4.2
Quiet River,16,4200000.0,93.9,66727,2.18,17,4.2
"Jackbox Games, Inc.",13,4150000.0,90.2,36120,22.68,153,4.15
Nival,9,4100000.0,69.2,18890,4.44,31,4.1
Gravity Interactive,5,4050000.0,67.5,8531,0.0,80,4.05
Amaterasu Software,7,4050000.0,55.0,2891,1.06,15,4.05
Nightdive Studios,12,4050000.0,88.6,28135,10.03,18,4.05
Grey Havens,3,4000000.0,79.4,26285,0.0,132,4.0
"Cygames, Inc.",3,4000000.0,88.3,55491,30.99,1736,4.0
Keen Software House,3,4000000.0,73.5,141677,19.99,4201,4.0
Zachtronics,10,3975000.0,91.5,27706,13.69,139,3.98
SakuraGame,11,3925000.0,88.4,76198,4.08,27,3.92
Milestone S.r.l.,16,3925000.0,83.2,47392,22.05,209,3.92
Maddy Makes Games Inc.,2,3850000.0,96.2,124012,3.99,1174,3.85
"CarX Technologies, LLC",2,3850000.0,83.0,94103,17.49,1658,3.85
Spearhead Games,2,3850000.0,77.2,7582,7.5,3,3.85
Masangsoft,2,3850000.0,57.0,11385,0.0,204,3.85
Bloober Team SA,2,3850000.0,87.6,29138,24.99,17,3.85
"IMCGAMES Co.,Ltd.",2,3850000.0,64.1,21599,0.0,1313,3.85
Idea Factory International,14,3825000.0,82.4,35114,21.78,18,3.82
SMG Studio,3,3800000.0,80.6,39776,5.99,2153,3.8
Nexon America Inc.,3,3750000.0,69.7,23533,0.0,8092,3.75
Straight Back Games,3,3725000.0,77.8,85182,5.99,447,3.72
"XSEED Games, Marvelous USA, Inc.",12,3725000.0,90.6,48816,23.99,77,3.72
Finji,4,3700000.0,95.1,41273,23.74,114,3.7
Funbox Media Ltd,14,3700000.0,66.9,12952,2.83,9,3.7
NIJICO,2,3650000.0,42.7,118112,1.29,11,3.65
Ninja Theory,2,3650000.0,77.8,75063,29.99,73,3.65
SnoutUp,2,3650000.0,96.2,18211,0.0,13,3.65
Source Technology,2,3650000.0,76.7,64788,14.99,3070,3.65
Playtika Ltd.,2,3650000.0,57.4,15735,0.0,1053,3.65
Duoyi Games,2,3650000.0,90.0,100422,11.99,1428,3.65
Onyx Lute,2,3650000.0,94.4,9584,4.99,17,3.65
Knights Peak,2,3650000.0,72.7,35644,29.99,590,3.65
Hitchcock Games,2,3650000.0,82.3,43882,2.99,77,3.65
D3PUBLISHER,5,3650000.0,77.8,29794,41.99,369,3.65
Twin Sails Interactive,9,3550000.0,79.7,36421,18.21,430,3.55
Winged Cloud,8,3550000.0,84.1,31524,9.99,58,3.55
Nolla Games,1,3500000.0,95.3,78477,19.99,2019,3.5
"GSC Game World (worldwide), SEGA (Japan), 4Divinity (China and South East Asia)",1,3500000.0,80.5,113346,59.99,2403,3.5
Vostok Games,1,3500000.0,54.3,25455,0.0,0,3.5
"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",5,3500000.0,86.7,33164,27.99,97,3.5
FRVR,1,3500000.0,79.1,26746,0.0,32,3.5
OPNeon Games,1,3500000.0,97.2,39499,12.99,1661,3.5
"2K, Feral Interactive (Linux)",1,3500000.0,93.4,56414,29.99,590,3.5
"2K, Missing Link Games",1,3500000.0,93.4,54909,0.0,31,3.5
"Frontier Developments, Aspyr (Mac)",1,3500000.0,91.3,70278,44.99,687,3.5
"Frozen District, PlayWay S.A.",1,3500000.0,94.2,95144,24.99,1311,3.5
"Funbox Media Ltd, ZOOM Platform Media",1,3500000.0,76.9,18420,0.0,119,3.5
CenterPoint Gaming,1,3500000.0,93.4,31352,4.99,41428,3.5
"WipleGames Inc.,",1,3500000.0,72.3,22410,0.0,64,3.5
"Warhorse Studios, Deep Silver",1,3500000.0,84.1,162206,29.99,2520,3.5
"FromSoftware, Inc., Bandai Namco Entertainment Inc.",1,3500000.0,91.4,77042,59.99,1011,3.5
Fistful of Frags Team,1,3500000.0,91.4,36262,0.0,53,3.5
"Eidos Interactive Corp., Feral Interactive (Linux/Mac)",1,3500000.0,76.0,40850,29.99,205,3.5
"Panic, Campo Santo",1,3500000.0,90.4,90438,19.99,81,3.5
Evil Tortilla Games,1,3500000.0,80.0,30409,9.99,75,3.5
"Bandai Namco Entertainment, FromSoftware, Inc.",1,3500000.0,84.0,116710,39.99,1612,3.5
ArenaNet®,1,3500000.0,88.9,21543,0.0,3277,3.5
Keen Games GmbH,1,3500000.0,86.4,78080,23.99,10654,3.5
Blobfish,1,3500000.0,96.7,97801,4.99,6389,3.5
Leppsoft,1,3500000.0,96.1,88384,4.99,15279,3.5
Boneloaf,1,3500000.0,85.1,60270,7.99,376,3.5
"MADFINGER Games, a.s.",1,3500000.0,67.8,59318,39.99,7543,3.5
Sharkmob AB,1,3500000.0,76.1,57084,0.0,362,3.5
NEXON Korea Corp. &amp; NEXON America Inc.,1,3500000.0,67.4,7863,0.0,141,3.5
Numantian Games,1,3500000.0,85.1,48765,29.99,2751,3.5
Nokta Games,1,3500000.0,93.8,68341,19.99,2464,3.5
Naivus Luo,1,3500000.0,69.3,114,0.89,0,3.5
Anegar Games,1,3500000.0,90.7,53138,4.24,1154,3.5
CORPTRON GAMES CORP.,1,3500000.0,96.6,38476,12.99,112,3.5
Noble Empire Corp.,1,3500000.0,84.1,19242,0.0,103,3.5
Beat Games,1,3500000.0,95.6,74612,29.99,423,3.5
Tuxedo Labs,1,3500000.0,95.6,109462,29.99,1984,3.5
Triternion,1,3500000.0,80.3,112200,29.99,764,3.5
CCP,1,3500000.0,73.7,36388,0.0,3705,3.5
Gun Media,1,3500000.0,80.1,77513,0.0,19,3.5
"Microids Indie, Microids",1,3500000.0,88.6,7123,14.99,15,3.5
ZA/UM,1,3500000.0,93.1,111712,9.99,918,3.5
ConchShip Games,1,3500000.0,69.8,60637,16.99,989,3.5
Colibri Games,1,3500000.0,87.3,6451,4.99,10,3.5
"Codemasters, Feral Interactive (Linux)",1,3500000.0,59.8,7892,0.0,22,3.5
Poros Interactive,1,3500000.0,74.9,30134,0.0,2,3.5
Curve Animation,1,3500000.0,91.3,48550,6.99,605,3.5
Playwing LTD,1,3500000.0,74.6,17740,0.0,54,3.5
Autumn Games,1,3500000.0,72.5,40853,24.99,112,3.5
Crytek ,1,3500000.0,86.7,40826,9.99,83,3.5
"Relic Entertainment, Feral Interactive (Mac/Linux)",1,3500000.0,88.4,12774,9.99,152,3.5
Duhndal,1,3500000.0,91.4,38728,0.0,786,3.5
